jid,lid
22148,110
8452,88
13025,403
22684,90
4126,404
857,429
10783,268
22400,331
3781,369
22738,326
24686,14
32793,13
29147,88
32220,151
15482,133
11065,331
34027,331
18994,243
32810,367
6261,268
24401,3
22694,404
28575,47
2673,321
18022,83
26585,133
34455,219
1492,14
33085,13
20977,90
20693,331
26634,25
26639,369
674,321
33100,321
7776,47
17055,267
24586,133
2954,159
20466,325
32042,387
13520,358
6553,268
17848,88
20179,268
29991,197
2341,117
2005,168
14008,297
15453,88
3593,267
6117,88
15849,88
18180,268
24878,133
3312,25
33249,13
35342,25
17945,371
6517,207
22351,14
29357,32
10835,3
8746,110
21827,14
18140,88
17744,88
6321,268
30679,197
7781,367
31267,367
29759,197
10888,14
10948,65
19891,336
1424,14
11687,404
11291,404
26451,267
36657,123
15559,83
2001,25
15949,268
32382,404
24171,25
30637,321
4620,83
32536,90
7357,197
7945,367
27186,83
30639,367
22568,25
22172,25
25245,88
27576,268
1720,133
26656,268
33750,133
7790,429
28640,367
31747,14
31807,65
19176,367
6540,325
10709,25
7696,13
35604,159
4446,88
4050,88
2209,297
27140,88
16113,268
32546,404
27788,309
11943,343
8237,367
17177,367
25141,88
25393,309
19963,373
9944,343
30021,331
32448,219
32140,66
17324,13
34533,370
24949,268
10477,25
17910,110
6891,151
32314,404
16945,367
24039,232
31573,369
2215,88
1098,328
19331,254
16163,331
8840,414
34583,83
25643,83
6006,367
5610,367
17582,429
32802,343
36052,268
18113,65
19233,96
13446,88
1247,47
7771,321
13784,83
14333,325
17633,367
28524,326
7426,286
5244,202
16075,110
28862,321
13650,268
16611,90
16327,331
34351,83
8881,14
28736,367
33965,47
19144,404
1750,267
8500,322
17401,367
8934,25
36795,325
20508,14
34305,88
25955,331
25559,331
28632,394
2147,88
31500,25
28671,322
13418,268
5938,367
17548,13
11815,268
10982,267
18821,286
18912,404
16919,219
2973,22
22650,268
11717,83
15170,367
27613,14
27217,14
44,88
3117,151
16097,3
30629,297
14672,90
23386,309
25683,151
27620,404
26797,367
32278,268
16681,404
16285,404
23337,43
23686,197
14938,367
27381,14
26985,14
11875,268
8614,154
32576,83
24226,326
14890,326
24549,13
4530,3
15522,14
8566,113
9352,268
18538,297
2693,331
28796,343
25783,331
10222,124
25595,280
33506,367
26806,429
13086,13
9836,88
5307,45
1286,243
14068,110
23784,331
4202,322
11643,268
35896,373
3329,168
26023,168
33369,254
30007,88
9644,268
28353,123
180,268
33798,367
14500,117
1640,367
2299,3
24334,367
19716,309
27441,14
30607,268
33568,90
21271,268
26565,343
3285,219
25442,14
16704,118
27098,25
25754,286
27934,297
11268,367
32066,115
33962,367
374,110
10090,331
32404,110
18312,88
19088,309
36581,425
23281,403
12913,219
21039,268
30375,268
12637,321
34734,65
16313,88
36726,25
6977,88
4172,25
21813,39
18516,268
24829,322
33084,219
33480,219
7812,135
23271,65
10640,367
2173,25
25659,25
19390,243
7577,268
7181,268
26726,395
30143,268
3407,343
30270,43
35523,117
16605,88
13800,25
13404,25
1888,14
36494,25
19097,371
28144,268
34842,133
30759,207
35241,404
19831,366
8788,13
2465,25
665,235
12241,297
22979,14
28232,88
9770,110
9191,403
12639,343
15503,232
11516,14
20131,254
5346,268
2677,66
4950,268
21779,404
1364,394
11919,404
23870,343
24016,168
20432,367
32271,65
11096,367
5306,88
25719,25
19650,331
20957,188
12803,343
17847,243
11685,358
13860,25
26649,309
5114,268
26211,83
30297,280
20328,367
12262,369
24557,118
30823,326
1181,286
20200,367
2397,25
21103,363
349,133
16741,268
16345,268
21785,168
17805,367
33264,297
25769,88
31082,213
22964,25
24511,123
9304,414
5278,268
4882,268
35443,83
28060,115
28500,387
25979,83
29432,367
738,66
28398,110
509,14
2883,268
24760,46
17511,270
18097,367
16539,110
32196,25
23261,369
14073,267
32058,91
6442,197
10674,219
21257,25
29596,367
35205,268
14470,88
26137,268
409,133
18735,250
31431,343
27009,197
32835,133
18261,367
6497,254
611,267
3135,88
21368,14
23742,268
35165,88
20877,154
24674,248
29094,321
14278,268
16955,331
15150,197
26757,326
21650,77
12279,268
19772,404
19376,404
7237,414
24193,325
27493,367
31199,343
7906,14
12763,88
15440,151
26331,110
9166,25
816,268
24195,371
17927,90
16426,367
31054,369
1300,88
30257,25
29309,286
15248,331
23866,88
23470,88
24642,309
1638,83
10201,133
28480,404
35137,268
27069,197
35477,336
36597,367
21867,88
1793,371
26099,110
8077,404
25262,367
15262,387
4318,13
30421,25
8511,107
33494,88
33874,309
30861,297
12735,268
15412,331
18128,322
25805,13
25521,254
6566,343
25812,403
35979,331
12790,325
7628,369
5883,286
30585,25
36259,321
21443,268
12107,268
15180,331
10510,83
36657,367
28586,25
24893,254
3069,110
1725,371
6334,343
2628,367
14204,429
34658,367
24373,403
10559,325
2491,254
4048,286
8069,88
31555,88
35701,336
5264,25
1967,254
16838,14
6824,328
19171,267
31031,88
11540,197
12128,367
30973,83
14443,14
5563,65
16495,25
15466,112
14846,404
21503,268
29529,113
4684,96
23359,367
5561,369
2980,14
2259,254
1863,254
34289,254
3183,373
19900,268
206,18
5032,25
21801,110
26906,286
28122,25
8328,325
12024,367
31473,32
11151,213
17183,25
8000,267
8041,268
10718,331
1778,331
33428,110
29534,83
14312,96
32591,367
13444,286
371,243
21697,110
21473,402
28567,267
